Date,"GLD,IEF,LQD,QQQ,TIP,VNQ","GLD,IEF,QQQ,TIP,VNQ","GLD,IEF,LQD,QQQ,VNQ","GLD,IEF,QQQ,VNQ","GLD,IEF,QQQ,TIP,TLT,VNQ"
2005-11-11,102172.01552333846,102095.51857042288,101808.12593859281,101262.24722935572,102095.51857042288
2005-11-14,102007.7998566027,101931.42585318616,101644.49513230509,101099.49378499274,101931.42585318616
2005-11-15,101847.65349034462,101771.3993897114,101484.91913352405,100940.77340691423,101771.3993897114
2005-11-16,102808.90016410644,102731.9263708924,102442.74229008149,101893.4608705831,102731.9263708924
2005-11-17,104311.57438591299,104233.47552925955,103940.06467953176,103382.75485949338,104233.47552925955
2005-11-18,104529.352530798,104451.09062201712,104157.0671991313,103598.59384667143,104451.09062201712
2005-11-21,105172.93648770358,105094.19272279607,104798.35900688401,104236.4471514458,105094.19272279607
2005-11-22,105928.25316494847,105848.94388879016,105550.98559457135,104985.03827706724,105848.94388879016
2005-11-23,106015.05901635652,105935.6847480074,105637.48228358243,105071.0711848181,105935.6847480074
2005-11-25,106405.70731205225,106326.04056239962,106026.73927026486,105458.24103847954,106326.04056239962
2005-11-28,106011.82857608647,105932.45672639215,105634.26334865032,105067.86950929459,105932.45672639215
2005-11-29,105885.30732719573,105806.03020490761,105508.19271008065,104942.4748411037,105806.03020490761
2005-11-30,105084.23551681699,105005.5581629904,104709.97394793568,104148.53599889195,105005.5581629904
2005-12-01,107047.20466742963,106967.05762390455,106665.95190800143,106094.02632141116,106967.05762390455
2005-12-02,107099.85800152924,107019.67153605874,106718.41771521528,106146.21081545028,107019.67153605874
2005-12-05,107022.42119600085,106942.29270804636,106641.25670386462,106069.4635289658,106942.29270804636
2005-12-06,107137.1656939304,107056.95129591129,106755.5925348271,106183.1863096904,107056.95129591129
2005-12-07,107208.89697983704,107128.62887606717,106827.06834698482,106254.27888010073,107128.62887606717
2005-12-08,107561.05493170154,107480.52316463675,107177.97207468418,106603.30111875218,107480.52316463675
2005-12-09,108148.43765789772,108067.46611298848,107763.26281458423,107185.4536243445,108067.46611298848
2005-12-12,108426.87232594099,108345.69231491131,108040.70582678894,107461.40903197938,108345.69231491131
2005-12-13,108104.74418810284,108023.8053568215,107719.72496077184,107142.1492134643,108023.8053568215
2005-12-14,107104.57380653058,107024.38381030153,106723.11672469472,106150.88462960067,107024.38381030153
2005-12-15,106862.01696406148,106782.00857195623,106481.42375780085,105910.48758131432,106782.00857195623
2005-12-16,106584.51046010647,106504.70983919824,106204.90560399211,105635.4520731342,106504.70983919824
2005-12-19,105645.12067194216,105566.02337920091,105268.86148888886,104704.42687522082,105566.02337920091
